"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-1.7947,-8.4617,4.3591,32.051,356.1536,95.1282,-10.5129,-4.3591,-0.76929,-13.0769,0.76929,2.3079,-3.3333,6.4104,
-0.51269,-7.6924,3.5898,36.9233,371.1536,110.1282,-11.282,-2.564,-8.718,-10.2563,0.5127,5.6411,-8.2051,21.4104,
1.0256,-2.5642,4.1028,36.4104,386.1536,125.1282,-15.3845,-5.6409,-12.3076,-4.1023,-1.0256,2.0515,-18.4614,12.8206,
1.7952,5.3845,5.8977,34.1028,401.1536,133.5901,-11.5383,-0.76929,-10.5127,-5.8972,0.76929,-4.3586,-11.0256,-2.1794,
-2.3076,5.3848,-0.25635,32.5645,416.1536,136.1538,-10.5127,-2.3076,-13.0769,-11.0256,0.25635,0.76953,-5.3843,9.4873,
-4.8721,3.333,-2.3076,34.1025,431.1536,151.1538,-9.4873,-10,-11.5386,-10,2.3076,6.4102,-7.436,22.8203,
-1.282,6.4104,1.282,39.2307,446.1536,166.1538,-4.8718,-4.8718,-13.0769,-9.9998,2.3079,-3.8459,-11.5386,11.0256,
-0.5127,7.6924,0.5127,33.8462,461.1536,181.1538,-4.1025,2.0513,-16.4104,-16.4104,-1.5386,-11.2822,-12.3076,0.5127,
0.25635,11.0259,4.3589,33.5898,476.1536,196.1538,-2.3076,-0.76904,-4.3589,-14.6152,-0.25635,-5.3843,-10,14.1025,
1.5383,13.8459,6.1536,34.3591,491.1536,209.7434,-2.0515,-4.6155,-1.5383,-12.8206,-2.5642,-7.6921,-14.8718,14.3591,
4.6155,14.8718,7.1794,30.7693,506.1536,207.1794,-3.5896,1.5383,-8.718,-12.3076,-1.5383,-14.3589,-10.7693,-0.64087,
0.25635,6.9233,1.2822,31.0259,521.1536,198.7183,-13.0769,0.76953,-6.9229,-13.5896,-0.25635,-13.0769,-3.333,-4.8716,
-5.1284,3.0767,0,30.769,536.1536,200,-18.4617,-5.6411,0,-10.7693,2.0513,-5.1284,-2.0513,10.1284,
-0.76929,14.1028,0.76929,27.949,551.1536,210.0002,-14.6155,-1.7947,-2.8206,-6.9231,0.76929,-3.8459,-10.5129,15.6409,
6.9231,22.3079,-2.8206,27.949,566.1536,212.5642,-11.0256,4.8718,-8.4612,-11.5383,-5.3845,-6.4099,-12.051,2.8206,
6.4102,13.0771,-1.7949,28.9746,581.1536,205.8975,-12.0513,2.8208,-10.5127,-18.2051,-5.3843,-5.8975,-7.4355,1.7949,
0.76929,8.9744,1.282,31.0256,596.1536,207.4358,-15.6409,0.76929,-14.1025,-18.2051,-3.3333,-4.3586,-14.6152,-0.76929,
-1.0256,16.9231,1.0256,30.2566,611.1536,211.282,-15.3845,2.0515,-9.7434,-12.3074,-3.0769,-4.6155,-15.3845,2.0515,
3.0769,15.8977,1.0256,28.718,626.1536,201.0256,-12.3074,-1.0256,-6.1536,-12.3074,-4.615,-4.615,-10.7688,7.1799,
8.2056,10.7695,2.0513,31.2822,641.1536,197.9487,-10.2563,-2.0513,-12.8203,-17.9485,-6.6665,-4.1025,-7.6919,5.6411,
4.1025,8.2056,0,31.7949,656.1536,199.4873,-12.3076,0,-16.9229,-19.4871,-5.6406,-4.6152,-4.6152,6.667,
-1.0256,11.282,1.0256,35.8972,671.1536,196.9231,-18.4617,1.5383,-17.436,-20,-4.1028,-8.2053,-5.6409,4.6155,
0.5127,13.8462,5.1279,37.436,686.1536,198.9741,-15.8975,3.0767,-18.4617,-22.5642,-2.564,-11.7949,-9.7437,-0.5127,
2.3079,6.9231,0.76929,30.5129,701.1536,198.2053,-8.4617,-0.76929,-18.2051,-18.718,-5.8972,-11.5383,-10.5129,5.8977,
6.1541,10.7693,-4.1023,33.8464,716.1536,202.0515,-3.5896,1.5383,-9.2307,-5.1282,-2.051,-5.6409,-1.5383,17.4358,
2.8208,7.436,-5.8975,31.0259,731.1536,197.1797,-6.4102,-0.25635,-5.3843,-6.9229,0.25635,-7.9487,-2.3076,5.8975,
2.0513,4.1025,0,32.3076,746.1536,192.3076,-5.1284,0,-2.0513,-7.6924,-1.0259,-3.5898,-3.5898,2.0513,
0.51269,5.6411,-2.564,29.231,746.1538,189.231,-8.2051,1.5386,-8.2051,-2.564,-7.6924,1.5386,-11.7949,-0.5127,
3.8462,6.4102,-0.25635,28.9741,731.1538,187.4355,-8.9746,1.7949,-11.5386,-0.25635,-6.9233,0.25635,-10,-5.3848,
7.1794,6.6667,1.0256,35.3845,716.1538,184.6155,-8.718,-1.5383,-8.718,-3.5896,-4.6155,-1.0256,-2.5642,9.6152,
4.1028,9.7434,-3.5896,32.8206,707.6921,181.5383,-6.6667,-1.5383,-6.1541,-3.0769,-4.1028,1.5383,-6.1541,22.5642,
2.0513,8.7178,-2.564,30.2563,695.8975,180.5127,-4.6152,1.5386,-12.3076,-3.0771,-4.1025,-1.5386,-9.7437,8.7178,
2.8203,0.25635,1.7949,34.1025,680.8975,177.6924,-4.8721,-0.25635,-18.718,-6.9233,-1.2822,-5.8975,-2.8208,3.8462,
1.7947,-1.7947,-0.25659,35.1282,665.8975,175.1282,-4.3591,-1.282,-14.1025,-12.051,1.7947,-6.9231,0.25659,10.0002,
2.3076,4.3589,-4.3589,37.6924,660.769,176.6665,-1.7949,0.25635,-13.0769,-14.6155,-0.25635,-6.9229,-5.3848,0.76904,
4.8716,1.7949,-0.25635,38.7178,656.6665,176.1538,0.25635,-1.7949,-15.1284,-9.4873,-1.7949,-4.8721,-5.8975,2.3076,
5.8975,-0.25635,3.333,37.1792,641.6665,176.1538,-1.7949,-1.2822,-12.5642,-7.436,0.25635,-1.2822,-0.76953,15.1279,
5.8975,2.8203,0.25635,36.1538,627.4355,176.1538,-2.3076,-1.2822,-10.5127,-10,-0.25635,-0.76953,-0.25635,13.0767,
6.4104,1.282,-0.76929,35.6409,618.2053,176.1541,0.25659,-2.3079,-11.5386,-8.9744,-0.25659,-2.8206,-2.8206,3.3333,
4.8721,1.7949,-2.8203,36.1538,604.8721,174.1025,-10.5127,0.76953,-14.1025,-6.9229,-2.8203,0.25635,-3.8462,-0.25635,
-0.51294,3.5896,-8.718,28.2053,594.8718,170.7693,-21.5386,0.51294,-11.7947,-9.2307,-7.1794,4.6155,-5.1282,8.2053,
1.0256,6.1536,-3.0769,28.718,589.7434,172.3074,-11.282,-1.0256,-8.718,-11.7952,-6.1541,5.1282,-6.6667,12.3074,
0.76904,6.9233,0.25635,34.1025,576.1538,169.4873,-7.436,-0.25635,-12.564,-10,-5.8975,4.3589,-7.9487,-1.7949,
-0.76929,4.3586,0.76929,31.0256,563.3333,165.3845,-13.0769,2.8206,-11.5383,-3.8464,-6.9231,8.9744,-4.3591,-1.7952,
-0.5127,0,1.0254,28.2051,552.3076,162.564,-11.7949,0,-16.9229,-6.6665,-13.3335,5.1284,-9.7437,13.2048,
0.25659,1.282,-0.25659,31.0256,537.3076,161.7952,-11.0256,-1.7947,-21.282,-11.0256,-9.9998,1.7952,-9.4871,21.7952,
0.25635,2.3076,-6.4102,34.6152,524.8716,159.7437,-17.1794,-1.2822,-19.2307,-5.8975,-5.3848,3.3335,-0.25635,10.5127,
2.564,-0.5127,-10.2563,34.3589,536.4102,161.0254,-11.7949,0.5127,-17.9487,-3.0771,-7.6924,3.0767,-4.1025,6.1538,
4.3589,-0.76904,-5.8975,30.5127,538.2051,160.769,-3.3335,0.76904,-18.718,-7.9487,-6.9229,1.2822,-6.4102,7.9487,
3.8462,-0.25635,-1.2822,33.0771,523.2051,150.5127,-9.4873,-3.8462,-18.7178,-10,-7.436,1.2822,0.25635,8.4614,
5.8977,-1.7947,-0.25659,32.5642,508.2051,144.3591,-9.4871,0.25659,-15.1282,-6.4104,-7.4358,3.8464,-1.282,7.4358,
5.3848,-1.2822,-1.2822,26.4102,504.3589,142.3076,-5.3848,3.8462,-13.0767,-6.4102,-4.8716,4.8721,-4.8716,1.2822,
2.5642,0.51294,-3.0769,22.0515,493.8459,140.5129,-8.718,-1.5383,-14.8718,-9.2307,-6.6667,2.0515,-0.51294,5.1282,
3.8462,-3.3335,-0.25635,15.1279,483.8462,137.1792,-7.9487,-6.9233,-17.6924,-9.4873,-9.4873,1.2817,0.25635,17.1792,
1.5386,-8.7183,-0.5127,12.8203,469.7437,133.333,-6.1538,-9.7437,-24.6155,-11.2822,-10.2563,3.5898,0.5127,10.2563,
1.5386,-5.1284,-2.0513,20.5127,461.0254,135.3843,1.5386,-5.1284,-23.0771,-12.8208,-6.1538,4.1025,6.1538,-1.5386,
5.6411,0,0,23.5898,461.5381,139.4868,3.5898,-2.0513,-16.9233,-12.3076,-5.1284,2.564,-1.5386,-0.51318,
3.333,-0.25635,0.25635,19.2305,452.0513,133.5894,-8.4619,-4.8721,-19.7437,-10.5132,-10,5.3843,-5.8975,3.333,
0.51294,-7.1794,1.5388,20.0002,437.0513,127.1794,-9.2307,-3.5896,-21.0256,-9.7434,-6.6667,1.5388,6.1541,-0.51294,
3.8464,-10.5125,5.8977,27.949,429.4875,131.0256,-0.76929,0.76929,-18.7178,-14.6152,-1.282,-2.3074,12.0515,-1.7947,
0.25635,-16.6665,0.76904,21.7949,419.2305,126.9229,-5.3848,-8.9746,-23.8462,-21.2822,-6.9233,-0.25635,5.8975,1.7949,
0.5127,-18.9744,-0.5127,17.9487,408.2051,121.0254,-6.6665,-12.8203,-25.6411,-17.9487,-8.7178,3.0771,2.0513,6.6665,
6.4102,-11.5381,5.3848,25.8975,407.9487,128.4619,-1.2817,-0.25635,-21.7947,-12.564,-5.3843,0.25635,-3.333,1.2822,
8.2048,-12.3079,7.6921,25.6409,399.9998,135.3845,0.51294,4.1023,-17.9487,-14.8718,-2.5642,-1.0256,-0.51294,-0.51294,
8.4617,-15.6409,0.76929,21.7947,384.9998,127.4358,-4.8718,-3.8464,-20.7693,-21.2822,-7.949,-0.76929,6.9231,10.5129,
6.6665,-6.1538,-3.0771,21.0259,373.3335,127.1797,-8.2051,-2.0513,-26.1538,-16.4102,-13.8462,2.0513,6.1538,11.2822,
-0.5127,-8.2051,0,17.436,360,134.3589,-6.6665,1.0254,-28.718,-12.3076,-13.3335,5.1284,0,3.5898,
4.3589,-12.0513,0.25635,22.8203,353.5898,132.564,-2.8208,-0.25635,-21.7949,-11.0259,-5.8975,5.8975,-4.3589,10.5127,
5.6411,-8.7178,-1.0254,26.6665,346.6665,125.6411,-1.5386,0,-12.8206,-5.6411,-0.51269,0.5127,0,7.1797,
-3.8462,-11.0256,3.3335,27.9487,331.6665,118.7178,-0.76904,-0.76904,-13.5898,-0.76904,0.76904,0.76904,10.5127,-5.8975,
-5.1279,-15.8972,3.0771,29.7437,322.0513,111.7949,-2.564,-3.5894,-16.4102,-4.6152,0,7.1797,15.8975,0,
