"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-31.5386,-25.8975,-12.0513,-15.6411,3.3335,21.7949,0.25635,-1.2822,-0.25635,7.436,14.1025,-2.3076,104.8716,5.3848,
-35.3845,-33.8464,-13.8464,-18.4617,11.7947,17.9485,-8.718,-5.1282,-6.1541,5.1282,15.8972,10.2561,105.1282,6.1536,
-36.1538,-36.1538,-13.5896,-15.1282,24.8718,20.2566,-12.5642,0.76929,-13.0769,-0.76929,19.7434,14.1028,108.9744,9.4871,
-47.6921,-44.1025,-16.4102,-17.9487,20,20,-21.5386,2.0513,-20.5127,-2.0513,9.7437,3.0771,102.564,5.6411,
-52.8206,-41.5386,-13.8459,-15.3845,18.9744,23.5896,-27.6921,-1.5383,-25.1282,1.5383,2.5642,8.2053,96.4104,6.6667,
-47.4358,-37.1794,-15.1282,-13.5896,21.282,21.7947,-21.7947,-6.9231,-15.6409,6.9231,9.4871,17.6921,102.8206,12.0515,
-42.564,-34.8718,-15.3845,-12.3074,24.6155,14.8718,-18.9744,-5.6409,-9.7434,5.6409,9.2307,21.5383,108.718,17.4358,
-36.9229,-26.1538,-4.6152,-2.0513,29.231,16.9233,-21.5386,-7.6924,-18.4614,4.1025,2.0513,30.2563,106.667,17.436,
-39.231,-26.9233,-5.3848,-5.3848,14.231,13.0767,-15.1284,-14.6152,-14.1025,8.9741,5.3848,21.7949,105.3848,9.4873,
-38.7178,-21.282,-9.4873,-7.9487,-0.76904,10.5127,-2.3076,-2.3076,0.89746,19.7437,15.1284,12.0513,113.5898,15.1284,
-40.7693,-22.3076,-13.5898,-7.9487,-1.7949,8.4614,-7.9487,1.7949,-5.3848,10.5127,7.9487,13.0771,110,20.769,
-37.6924,-23.3333,-7.4363,-1.7952,13.2051,16.1536,-15.1282,-0.76929,-16.6667,0.76929,2.8206,18.2048,108.4612,18.718,
-41.7949,-24.8718,-3.8462,-0.25635,19.7437,14.6152,-17.1797,1.7949,-16.1538,0.25635,-4.3589,5.8975,107.436,13.0767,
-44.1023,-22.564,-2.051,1.0256,11.2825,8.718,-12.8201,5.1287,-8.7175,8.2053,-5.1282,-1.0256,107.6926,17.4363,
-41.0256,-22.0513,-5.1284,1.0259,10.2563,10.2563,-14.8716,-1.5386,-12.3076,8.2051,-1.0259,2.0513,110.2563,21.0259,
-41.282,-24.8716,-8.4612,-5.3845,14.6155,13.0769,-14.615,-2.8206,-11.5383,5.8977,2.8206,5.8977,118.2053,21.7952,
-45.8975,-24.8718,-12.0515,-7.949,6.4104,6.9231,-8.9744,-2.3079,-6.9231,10.5129,2.3079,7.4358,116.1536,18.2048,
-42.3079,-15.1284,-12.564,0.25635,-7.436,-0.25635,-0.25635,0.25635,-0.76953,18.2051,6.4102,2.3076,116.1538,13.0767,
-38.9744,-10.7693,-15.3845,-1.0256,-17.436,-9.2307,3.5896,1.0256,7.1794,16.4104,13.8459,-12.6924,120.5129,4.6155,
-31.5383,-4.8716,-12.564,-1.7949,-13.5894,-3.333,8.4619,1.7949,14.1025,18.2051,18.2051,-6.9229,118.7183,10,
-28.4612,-13.5896,-16.1536,-7.9485,-11.5383,-3.3333,3.3333,-8.9744,3.3333,12.5642,4.3591,3.3333,104.3591,7.949,
-24.3589,-14.6152,-12.0513,-4.3589,-10,-3.8462,3.8462,-4.8716,3.8462,13.5898,5.8975,13.5898,104.8721,6.4106,
-33.0771,-13.0771,-13.0771,-3.8462,-25,-13.5898,1.7949,-1.7949,10.5127,16.1538,13.0767,7.4355,106.4102,8.4614,
-25.6411,-10.2566,-11.7949,-4.1028,-21.5386,-13.3335,16.7949,1.5386,21.0254,25.1279,16.4102,-1.5386,113.8462,18.4614,
-18.7178,-14.6152,-17.6921,-11.5381,-6.5386,-11.5381,18.7183,-3.8462,11.0259,17.6924,3.8462,-14.6152,113.0771,6.4106,
-17.4358,-10.2566,-13.8459,-11.282,8.4614,-10.2566,14.8718,-4.1028,11.282,16.9231,9.2307,-10.7693,113.8459,4.1028,
-22.8206,-15.1282,-17.6924,-21.7949,20.7693,-25.2566,16.1541,-6.9231,18.718,19.7434,16.6667,-8.4617,107.949,6.9231,
-18.718,-21.282,-18.2051,-24.8718,35.6409,-36.6667,17.1794,-6.9231,13.0769,18.2053,10.0002,-4.8718,105.8972,4.8718,
-17.6924,-21.282,-9.4873,-14.1025,42.3076,-30.5127,13.5898,-6.4102,5.8975,13.5898,5.3848,-3.8462,107.436,3.8462,
-29.4873,-18.2053,-6.4104,-11.5383,27.3076,-38.2053,11.0256,-6.9231,6.4104,13.5896,6.9231,-10.0002,105.8972,6.9231,
-24.6152,-16.9229,-4.1025,-12.8203,27.1797,-40.5127,12.8208,-5.1279,4.1025,12.8208,6.667,-7.6919,105.6411,5.1284,
-13.0769,-18.718,-2.8206,-10.5129,39.7434,-33.0769,10.0002,-4.8718,2.8206,6.9231,5.3845,-5.3845,106.4104,4.8718,
-20.7693,-18.718,-9.4871,-10.5129,24.7434,-38.718,4.3591,-4.3591,6.4104,9.4871,5.3845,-9.4871,106.4104,7.949,
-22.564,-13.3333,-8.718,-8.718,9.7434,-45.6411,13.8459,1.5383,14.3591,21.5383,11.282,-7.6924,115.8972,4.1028,
-16.9231,-12.8206,-6.1538,-10.7693,7.6924,-47.1794,21.0259,1.5386,10.2563,15.8975,13.3335,-13.3333,121.5386,-1.5386,
-19.7437,-16.6667,-11.0256,-18.2053,16.1536,-44.8718,15.1282,-3.3333,3.3333,6.4104,5.8972,-22.3079,120.7693,4.8718,
-16.1538,-13.0769,-9.4873,-14.6155,17.6924,-32.0513,18.7178,-2.3076,11.0259,15.6411,2.3076,-11.0256,129.4873,12.0513,
-16.4104,-12.8206,-11.2822,-8.718,5.6409,-30.2566,21.0256,0.51294,12.3079,18.9744,-0.51294,-3.5896,126.6667,9.2307,
-25.3846,-11.0255,-13.0768,-11.5385,-8.9742,-34.6154,23.8461,7.4359,21.2821,24.8719,11.0258,-7.4359,125.8973,18.7181,
-27.6924,-13.8462,-11.2822,-14.3591,2.0513,-26.1538,8.8461,-2.0513,12.8203,18.4614,10.2563,-11.2822,125.6411,14.8716,
-21.0256,-11.282,-15.3845,-8.2048,15.3845,-12.3074,6.6667,-4.6155,8.718,17.949,4.6155,-6.1536,130.2566,7.1794,
