"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
5.1282,-3.5896,8.2053,6.1541,19.4871,-1.0256,-18.4617,-8.718,1.0256,-8.2053,-2.5642,10.7693,-60,2.5642,
2.0513,-7.1797,6.1538,1.5386,15.3848,-12.8203,-20,-10.769,4.1025,-8.7178,-1.5386,6.1538,-53.8462,4.6152,
4.8716,-2.3076,9.4873,2.3076,15.1284,-18.7178,-18.2051,-7.436,6.4102,-7.436,2.8203,4.8716,-46.4102,-3.3335,
7.949,-1.7947,10.5129,9.4871,21.282,-13.5896,-14.6155,-9.4871,2.3079,-7.9485,1.7947,7.4358,-48.4614,-8.4617,
10.5127,-1.7949,13.5898,12.564,21.7949,-6.9233,-11.0259,-14.1025,1.7949,-8.4614,3.8462,2.8203,-46.9231,-3.8462,
11.282,1.0256,16.4104,11.282,16.4104,-7.6921,-11.7952,-11.282,2.051,-8.2053,8.718,-1.5383,-40,-1.0256,
8.718,0.51294,15.8972,14.3591,16.9231,-11.282,-13.3333,-9.7434,3.0769,-7.1794,1.5383,-0.51294,-43.0769,-7.6921,
6.9231,4.8718,18.2053,18.2053,21.282,-5.8972,-13.0769,-10.5129,5.8977,-6.4104,-2.3079,2.3079,-50,-8.4617,
2.8206,2.3079,13.0769,10.0002,20.7693,-3.3333,-16.6667,-15.6409,-1.282,-13.5896,1.282,2.3079,-53.0769,-7.9485,
3.3333,2.3079,11.0256,14.6155,26.4104,0.76929,-15.6409,-16.6667,-3.3333,-11.0256,-0.76929,16.6667,-47.9487,-3.3333,
2.0515,1.0256,12.3079,19.4875,23.0769,1.5388,-17.4358,-11.282,-1.0256,-4.6155,-10.2561,25.6414,-54.8716,-1.0256,
-0.25635,-1.2817,11.5386,13.0771,19.231,-0.76904,-18.7178,-10,2.3076,-2.8203,0.76953,16.1538,-66.9231,0.25635,
0.25635,3.3335,14.1025,16.1538,25.3848,-0.76904,-16.6665,-11.5386,-0.25635,-4.8721,10.5127,11.0254,-69.4873,-1.2822,
5.3848,6.4102,15.6411,21.2822,27.436,2.8203,-13.5898,-8.4614,-3.3335,-5.3848,-2.8203,14.1025,-67.9487,-2.8203,
8.9744,1.7947,10.5129,14.6155,23.3333,3.8459,-16.6667,-8.9744,-3.3333,-7.4358,-10.5129,13.5896,-74.6155,-1.7947,
6.9231,1.282,8.4617,14.6155,24.3591,1.282,-19.7434,-12.0515,-4.8718,-13.0769,-1.282,14.1028,-81.282,-5.8972,
5.6409,0.51294,9.2307,18.4617,17.949,-0.51294,-16.4104,-13.8459,-6.6667,-14.3591,1.0256,14.8718,-78.9744,-10.7693,
10.5127,3.8462,12.564,20.769,13.5894,5.8975,-15.6411,-15.1284,-6.4106,-10.5132,-3.8462,16.6665,-74.6155,-5.3848,
10,7.9487,13.0771,21.7949,19.231,5.8975,-19.231,-16.6665,-6.4102,-10.5127,-6.4102,17.1797,-77.1794,-5.8975,
5.1282,6.1541,6.6667,17.4358,18.9744,3.0769,-20.5129,-17.949,-7.6921,-14.3591,-3.0769,15.3845,-81.5386,-12.3079,
2.5642,1.0256,2.0515,10.7693,13.8464,5.1282,-23.5896,-18.4617,-11.7947,-13.8459,-1.0256,10.7693,-82.0513,-9.7434,
4.1025,0.5127,3.5898,12.8203,12.8203,5.1279,-23.5898,-17.9487,-8.7178,-9.7437,-0.5127,11.2822,-76.9231,-4.1025,
4.6155,6.6667,8.718,23.0769,15.8977,6.6667,-21.0256,-16.4104,-8.718,-9.2307,-6.1536,19.4871,-80,-4.6155,
2.0513,3.0771,13.8462,23.0771,14.8721,7.6924,-21.5386,-18.9741,-12.3076,-12.8203,-13.333,21.0259,-92.8203,-2.0513,
5.1279,-2.0513,15.3848,21.0254,15.3848,2.0513,-20,-17.436,-7.6924,-12.8203,-6.1538,16.9229,-94.8718,2.564,
9.4871,1.282,13.0769,25.3845,15.6414,0.76929,-20.7693,-13.0769,-7.9485,-8.9744,-0.76929,11.5388,-96.6665,-2.3074,
7.9487,2.3076,11.5386,22.3076,13.5898,2.3076,-17.1792,-14.1025,-11.0254,-6.9229,-2.3076,7.436,-102.8203,-7.4355,
4.1028,0.51294,12.3079,17.4358,14.3591,-0.51294,-12.3079,-15.8972,-5.6409,-6.1541,3.5896,11.7947,-102.564,-3.0769,
4.1025,-2.0513,11.7949,20.5127,15.3848,0.5127,-15.3848,-16.9229,-0.5127,-5.1284,3.5898,12.8203,-107.1794,-1.5386,
6.9229,1.2822,14.1025,22.3076,18.7178,5.8975,-15.1284,-14.1025,-1.7949,-7.436,-1.2822,8.9741,-114.1025,-6.4102,
3.3333,3.3333,10.5129,17.1794,26.9231,5.8977,-16.1541,-17.6921,-10.5129,-15.1282,-3.3333,3.8459,-117.6924,-11.0256,
