"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-17.1792,-1.2822,34.1025,6.4102,-68.4614,17.6924,145.8975,104.3589,-4.3589,-7.9487,5.3848,1.2822,-10.5127,-10.5127,
-18.4617,-0.51294,38.4617,2.5642,-55.3845,5.6409,143.0769,112.8206,-7.1794,-7.1794,0.51294,1.5383,-9.2307,-17.4358,
-10.2563,-4.1025,45.1284,6.667,-56.4102,10.7695,158.0769,121.5386,-5.1279,-3.5898,4.1025,3.5898,-11.2817,-14.3589,
-13.333,-7.1792,37.436,2.0513,-61.0254,21.5386,162.5645,117.9487,-5.1279,-2.0513,9.231,2.5645,-11.2817,-12.3076,
-16.6667,-4.3591,35.1282,0.76929,-60.2563,18.718,147.9485,123.8459,-5.8972,-0.25659,8.9744,0.25659,-5.8972,-17.1794,
-14.3589,-3.0767,32.8208,0,-45.2563,17.436,162.9485,138.8459,-7.1792,0,2.0513,1.5386,-3.0767,-16.9229,
-15.1282,0.76929,27.949,-0.76929,-30.2563,23.3333,177.9485,147.4358,-6.9231,1.282,-3.3333,4.8718,-4.3586,-14.6155,
-12.3076,1.0259,31.7949,-0.5127,-28.7178,25.6411,192.9485,141.5386,-7.1792,0.5127,-4.6152,3.5898,-7.1792,-17.436,
-8.4614,-1.2822,37.6924,-3.8462,-40.769,27.436,207.9485,149.4873,-4.8716,1.2822,1.2822,6.4102,-8.4614,-16.1538,
-17.1794,-0.25659,24.8718,-10.5129,-52.051,33.5896,222.9485,162.8206,-14.1023,1.7947,0.25659,8.4617,-13.0769,-20.7693,
-18.9744,4.1028,16.4104,-12.3074,-39.9998,40.5129,237.9485,177.4358,-17.4358,1.0256,-1.0256,4.6155,-8.718,-22.051,
-5.6409,7.6921,30.7693,-8.2053,-28.2053,42.5642,252.9485,187.6921,-9.2307,-1.5383,5.1282,1.5383,-6.6667,-18.4617,
0,11.7949,34.8721,-8.7178,-40,39.4873,267.9485,182.5645,-15.3843,-7.1792,0.5127,0,-15.8975,-27.1792,
2.0513,17.4355,37.4355,-10.2563,-32.8208,42.0513,282.9485,182.0513,-14.8721,-6.1538,-2.0513,8.2051,-7.1797,-28.2051,
0.51294,13.3333,34.3591,-15.8972,-17.9485,33.8464,297.9485,183.5896,-12.3079,-8.2053,-0.51294,12.3079,-5.1282,-24.6155,
-3.5898,10.2563,22.564,-21.0259,-32.8208,20.5127,312.9485,185.6411,-14.3589,-8.7178,3.5898,6.6665,-16.4102,-29.7437,
-2.0515,14.3591,18.9744,-18.4617,-31.282,26.6667,327.9485,186.1536,-12.3079,-1.5383,6.1536,1.5383,-7.6921,-31.282,
