"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-12.3076,-8.2051,13.8462,-8.2051,81.0259,9.7437,40.5127,-0.5127,-1.5386,-5.6411,0.5127,-10.769,9.231,5.6411,
-14.1028,-7.4363,14.615,-6.9231,85.8972,13.0769,40.2561,-0.76929,-1.282,-6.4104,0.76929,-11.0256,8.9744,4.3586,
-17.1794,-7.4358,15.1282,-5.8972,90.0002,16.1541,38.2053,-1.282,-0.76929,-8.4617,0.76929,-13.0769,6.9231,0.76929,
-10.2566,-4.1028,15.8972,-3.0769,103.0769,25.1282,38.4617,1.0256,-2.5642,-8.718,-1.0256,-10.7693,5.1282,2.5642,
-5.3848,-2.3076,15.6411,-1.7949,115.1279,32.0513,37.1792,1.7949,-6.4102,-10,-4.8721,-10,2.3076,2.8203,
0.25635,-0.25635,15.6411,-0.25635,126.9229,39.7437,36.1538,3.3335,-9.4873,-11.5386,-7.9487,-8.9741,-0.76904,3.3335,
3.0769,-1.0256,12.8206,-1.5383,135.8977,44.6155,32.3079,1.5383,-15.3845,-15.3845,-14.3586,-10.7693,-6.6667,1.0256,
7.4355,-0.25635,11.0254,-1.2822,146.4102,51.0254,30,1.2817,-19.7437,-18.2051,-18.7183,-11.0259,-11.0259,0.25635,
11.282,0.51294,9.7434,-1.0256,157.4358,56.9231,27.6921,1.0256,-24.6155,-20.5129,-23.5896,-11.282,-14.8718,-0.51294,
15.3845,1.0256,8.2053,-1.0256,167.6921,63.0769,25.1282,1.0256,-29.2307,-23.5896,-28.2048,-11.7947,-19.4871,-1.5383,
19.7434,1.7947,6.9231,-0.76929,178.2053,69.4871,22.8206,0.76929,-33.5896,-25.8972,-33.0769,-12.051,-23.8459,-2.3079,
24.1028,2.5642,5.1282,-0.51294,188.718,75.8972,20.5129,0.51294,-37.949,-28.718,-37.4358,-12.3079,-28.2053,-3.0769,
27.9485,3.3333,3.8459,-0.25659,199.7434,81.7947,18.2048,0.25659,-42.8206,-31.0256,-42.3079,-12.5642,-32.0515,-3.8464,
32.051,3.8459,2.3079,-0.25659,209.9998,87.9485,15.6409,0.25659,-47.4358,-34.1028,-46.9231,-13.0769,-36.6667,-4.8718,
36.6667,5.3845,0.76929,-0.25659,221.7947,95.1282,13.5896,0.25659,-52.5642,-35.6409,-53.0769,-13.5896,-41.282,-5.3845,
36.9229,9.2305,5.1279,0,206.7947,95.8975,14.3589,0,-44.6157,-29.231,-48.7183,-11.7949,-34.8721,-5.6411,
36.9229,12.3076,9.2305,0,191.7947,95.8975,14.8716,0,-36.9233,-23.0771,-44.6157,-10.2563,-28.2051,-5.6411,
35.1282,11.5383,8.4617,-0.76929,180.7693,88.4617,18.718,0.76929,-28.9744,-17.1794,-33.0769,-19.2307,-19.2307,-12.051,
32.3076,10.769,11.7949,-6.6665,175.3848,84.1025,24.6152,6.6665,-22.0513,-20,-23.0771,-27.1797,-14.8721,-16.4102,
28.4614,14.6152,11.5386,-11.5386,160.3848,78.2051,26.9229,7.436,-14.1025,-15.1284,-14.6152,-18.7178,-7.436,-7.9487,
20.5132,13.8462,7.1797,-21.0254,145.3848,67.6924,24.6157,4.1025,-10.769,-14.8716,-10.769,-14.3589,-4.6152,-4.1025,
14.3591,5.1282,1.5383,-25.6409,134.8718,57.4358,21.0256,-1.5383,-22.051,-9.2307,-12.8206,-5.1282,-11.7947,4.6155,
11.5383,3.3333,1.282,-24.8718,125.3845,53.5896,19.7434,-1.282,-21.7947,-10.5129,-13.0769,-6.4104,-11.5383,3.8459,
8.9744,1.7947,1.282,-23.8464,116.6667,49.4871,19.2307,-1.282,-20.7693,-11.0256,-13.0769,-7.4363,-10.5129,3.3333,
6.9229,0.25635,1.7949,-22.3076,107.9487,46.4102,18.7178,-0.25635,-19.7437,-11.5386,-12.5645,-7.9487,-9.4873,3.333,
5.1284,-0.5127,2.564,-20.5127,100,43.5898,18.9746,0.5127,-18.4614,-11.2822,-11.7949,-8.2051,-8.2051,3.0771,
3.0769,-1.5383,3.0769,-18.9744,91.282,40.5129,18.4617,1.5383,-17.4358,-11.7947,-11.282,-8.718,-7.1794,3.0769,
1.7949,-1.7949,4.3589,-16.667,83.8462,37.6919,19.2305,2.8203,-15.1284,-11.0259,-10,-8.4619,-4.8721,3.8462,
1.5386,-1.5386,6.667,-13.333,76.9233,36.4102,20.5127,5.6411,-12.3076,-9.7437,-7.6924,-7.1792,-2.0513,5.6411,
0.25635,-1.7949,7.9487,-11.0254,69.4873,34.1025,21.2822,6.9233,-10.5127,-8.9741,-6.4102,-6.9229,-0.25635,5.8975,
-1.5383,-2.5642,8.2053,-8.2048,60.5129,30.2566,20.5129,7.6926,-8.2048,-9.7434,-6.6667,-7.1794,1.5383,5.1282,
-1.282,-2.8206,8.4617,-7.9485,60.2566,30.0002,20.7693,7.4363,-7.9485,-8.9744,-6.9231,-5.8972,1.282,5.8977,
-0.76904,-2.8203,8.9746,-7.9487,59.7437,29.4873,20.769,6.9233,-8.4614,-8.4614,-7.9487,-4.3589,0.76904,6.4102,
0,-3.0767,9.7437,-7.6924,58.9746,28.7183,21.0259,6.667,-8.2051,-7.1792,-8.2051,-3.0767,0,7.1797,
0.25635,-2.8203,10.5132,-6.9229,58.7183,28.4619,20.7695,6.9233,-8.4614,-6.4102,-8.9741,-1.2817,-0.25635,7.436,
0.51294,-3.5896,10.2566,-7.1794,57.949,27.6926,20.5129,6.1541,-8.718,-6.1536,-9.7434,-0.51294,-1.0256,7.6926,
-0.25635,-4.3589,10,-7.9487,56.667,26.4106,19.7437,4.8721,-10,-6.4102,-11.5381,0.25635,-2.3076,7.436,
-0.5127,-5.6411,9.7437,-8.7178,54.8716,24.6152,18.9741,3.5898,-10.769,-6.1538,-12.8203,0.5127,-4.1025,7.1797,
-1.282,-6.9231,9.4871,-8.9744,53.5896,23.3333,17.6921,2.8206,-12.051,-6.4104,-14.6155,1.282,-5.3845,6.4104,
