"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
13.0771,-2.8203,4.3589,-3.8462,17.1797,-5.3848,-10.5127,-3.8462,2.8203,18.7178,-20.2563,15.1284,-3.8462,25.3848,
9.7437,-2.564,-1.5386,-7.1792,9.7437,-3.0767,-7.1792,-3.5898,5.1284,16.4102,-15.8975,12.8208,1.5386,30.2563,
11.5381,0.25635,-1.2822,-8.4619,-0.76953,-0.25635,-2.3076,-2.8208,9.4868,16.1538,-12.0513,14.1025,6.4102,28.9741,
5.8975,-0.76904,-4.3589,-7.436,0.25635,-0.25635,-4.8721,-2.3076,8.4614,16.6665,-16.1538,16.6665,2.8203,20.769,
2.051,-4.6155,-1.0256,-10.2566,1.0256,-2.5642,-2.0515,-5.1282,10.2561,13.3333,-13.8464,9.2307,5.6409,15.3845,
1.0256,-6.6667,-0.51294,-10.7693,0.51294,-2.051,-3.5896,-5.1282,6.1541,12.8206,-11.282,1.5383,5.6409,21.0256,
3.8462,-4.3589,0.76904,-7.9487,0.76904,-3.3335,-0.76904,-0.76904,8.9741,12.564,-8.9746,-3.3335,8.4614,22.8203,
8.2051,-5.6411,1.5386,-12.3076,3.0767,-6.667,-1.5386,-1.5386,7.6924,8.7178,-15.3848,-3.0771,6.1538,17.436,
13.0769,-5.3845,1.282,-10.5129,10.5125,-3.3333,-5.8977,-3.8464,2.3074,11.0256,-21.7952,4.8718,-1.282,21.7947,
14.1023,-5.8977,6.9231,-5.3845,10.5129,-4.8718,-3.3333,-6.4104,3.3333,13.0769,-22.8206,6.4104,-4.8718,22.3074,
13.5898,-2.3076,6.4102,-3.8462,12.0513,-3.8462,-2.8208,-0.25635,0.25635,16.1538,-24.3589,15.1279,-4.3589,24.3589,
13.5896,-1.282,1.282,-5.3845,11.0256,-4.3591,-2.3079,-2.3079,1.282,17.6921,-22.3079,20.2566,-2.3079,23.3333,
12.051,-5.3845,0.76929,-6.4104,7.4358,-6.4104,-0.76929,-11.5383,3.8459,16.6667,-18.718,13.0769,-4.8718,21.282,
10.769,-5.1284,2.0513,-7.6924,9.7437,-4.6152,0.5127,-7.1797,-0.5127,13.3335,-16.9233,7.1797,-6.1538,27.6924,
12.8208,-7.1792,3.0771,-9.7437,9.7437,-5.1279,1.5386,-7.1792,-1.5386,4.1025,-20,2.564,-4.6152,25.1284,
14.1025,-4.8721,1.7949,-6.9233,13.5898,1.7949,-4.3589,-5.8975,-1.7949,8.4614,-23.3335,10,-4.8721,21.7949,
