"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-9.4873,-8.4614,-1.7949,-13.0767,42.8203,26.9233,-8.4614,4.8721,-0.76904,0.76904,16.1538,3.3335,-2.8203,16.1538,
-8.4614,-7.436,-4.8716,-12.564,44.3589,26.9233,-12.564,6.9233,-0.76904,5.8975,17.1797,4.8716,0.76904,1.1538,
-4.3589,-9.4873,0.76904,-15.1279,49.4873,21.7949,-13.5898,4.8721,-2.3076,10,19.7437,15.6411,-0.76904,-3.8462,
-6.4104,-9.4871,-1.282,-23.8464,49.9998,20.2566,-14.1028,1.282,-7.949,4.3591,17.1794,12.5642,-10.0002,11.1538,
-7.436,-2.8203,-6.4102,-24.3589,44.3589,26.9233,-13.0767,6.4102,-2.3076,2.3076,20.2563,4.8716,-4.8716,18.7178,
-10,-3.3335,-5.8975,-23.3335,29.4873,26.9233,-17.6924,4.3589,0.25635,4.8716,19.7437,6.4102,-2.3076,3.7178,
-10.2563,-7.6924,-6.1538,-21.5386,36.4102,22.564,-18.4614,5.1284,-2.0513,4.6152,18.9741,9.231,-5.1284,2.0513,
-5.8972,-9.4871,-6.9231,-22.8206,51.4102,18.718,-8.9744,6.9231,1.282,-0.76929,19.2307,-2.8206,0.76929,11.0256,
-0.76929,-2.8206,-5.8972,-20.7693,66.4102,25.8977,-4.3586,0.76929,1.282,-3.3333,18.2053,-10.5129,4.8718,3.8464,
-1.0254,0,-4.6152,-19.4873,76.4102,30.2563,-3.0767,3.5898,0,1.0259,22.564,-3.5898,4.1025,-3.5898,
-2.3079,-3.8459,-1.7947,-23.3333,72.5642,18.718,-0.76929,8.4617,-0.25659,4.8718,21.282,-0.76929,4.8718,0.25659,
-7.436,-10,-7.9487,-27.436,65.3848,12.0513,-11.0254,2.3076,-7.436,4.3589,12.564,-2.3076,2.3076,8.4614,
-5.3845,-10.5125,-6.4099,-25.8972,65.3845,18.2053,-12.051,0.76929,-3.8459,4.3591,15.6414,-0.76929,1.282,13.5901,
-0.5127,-6.6665,-0.5127,-20.5127,76.4102,23.5898,-6.1538,8.2051,2.564,0,21.0259,-3.0767,0,5.6411,
-0.5127,-3.5898,-1.0254,-19.4873,78.4614,24.1025,-4.1025,10.769,7.1797,0.5127,25.1284,-2.0513,6.1538,-5.6411,
-4.3589,-7.436,-5.8975,-27.9487,64.3589,16.6665,-6.4102,0.76904,6.4102,1.7949,23.8462,-0.76904,8.9741,-5.8975,
